Time,Full_name,Quality,Type,Kind,Exterior,Price,OnSale
2023-6-6 9:24,P2000（StatTrak™） | 火灵 (战痕累累),隐秘,StatTrak™,手枪,战痕累累,230,当前在售(33)
2023-6-6 9:24,UMP-45（StatTrak™） | 迷幻 (略有磨损) ,军规级,StatTrak™,微型冲锋枪,略有磨损,8.93,当前在售(133)
2023-6-6 9:24,UMP-45（StatTrak™） | 迷幻 (崭新出厂),军规级,StatTrak™,微型冲锋枪,崭新出厂,24.78,当前在售(133)
2023-6-6 9:24,UMP-45（StatTrak™） | 迷幻 (久经沙场),军规级,StatTrak™,微型冲锋枪,久经沙场,6.6,当前在售(133)
2023-6-6 9:24,暗影双匕（★ StatTrak™） | 表面淬火 (略有磨损) ,隐秘,★ StatTrak™,匕首,略有磨损,1500,当前在售(9)
2023-6-6 9:24,暗影双匕（★ StatTrak™） | 表面淬火 (久经沙场),隐秘,★,匕首,久经沙场,1180,当前在售(9)
2023-6-6 9:24,暗影双匕（★ StatTrak™） | 表面淬火 (破损不堪),隐秘,★,匕首,破损不堪,1098.5,当前在售(9)
2023-6-6 9:24,暗影双匕（★ StatTrak™） | 表面淬火 (战痕累累),隐秘,★,匕首,战痕累累,979.5,当前在售(9)
2023-6-6 9:24,蝴蝶刀（★） | 人工染色 (略有磨损) ,隐秘,★,匕首,略有磨损,5519.5,当前在售(108)
2023-6-6 9:24,蝴蝶刀（★） | 人工染色 (崭新出厂),隐秘,★,匕首,崭新出厂,6654.5,当前在售(108)
2023-6-6 9:24,蝴蝶刀（★） | 人工染色 (久经沙场),隐秘,★,匕首,久经沙场,5140,当前在售(108)
2023-6-6 9:24,蝴蝶刀（★） | 人工染色 (破损不堪),隐秘,★,匕首,破损不堪,4929,当前在售(108)
2023-6-6 9:24,蝴蝶刀（★） | 人工染色 (战痕累累),隐秘,★,匕首,战痕累累,4848,当前在售(108)
2023-6-6 9:24,UMP-45（StatTrak™） | 野孩子 (略有磨损) ,保密,StatTrak™,微型冲锋枪,略有磨损,201.49,当前在售(117)
2023-6-6 9:24,UMP-45（StatTrak™） | 野孩子 (崭新出厂),保密,StatTrak™,微型冲锋枪,崭新出厂,436.99,当前在售(117)
2023-6-6 9:24,UMP-45（StatTrak™） | 野孩子 (久经沙场),保密,StatTrak™,微型冲锋枪,久经沙场,79.49,当前在售(117)
2023-6-6 9:24,UMP-45（StatTrak™） | 野孩子 (破损不堪),保密,StatTrak™,微型冲锋枪,破损不堪,61,当前在售(117)
2023-6-6 9:24,UMP-45（StatTrak™） | 野孩子 (战痕累累),保密,StatTrak™,微型冲锋枪,战痕累累,43,当前在售(117)
2023-6-6 9:24,UMP-45 | 色如焦糖 (略有磨损) ,消费级,普通,微型冲锋枪,略有磨损,51.8,当前在售(65)
